Timestamp,Gender,Age Group ,"How many hours do you spend daily watching short-form videos (TikTok, Reels, Shorts)? ",How many times do you open short-video apps per hour? ,Have you tried to reduce your short-video usage? , Do you feel like you lose track of time once you start scrolling?,Do you find it difficult to stop watching even when you have urgent tasks?,Do you feel annoyed or bored quickly when watching long-form videos (more than 10 minutes)?,Do you use short videos as a primary way to escape from stress or boredom?,Have you noticed that your sleep quality or bedtime is affected by watching? ,Target
28/03/2026 15:35,0,1,1,1,1,1,2,1,2,2,1
28/03/2026 15:40,0,1,3,3,0,3,2,1,2,1,2
28/03/2026 15:41,0,1,3,3,2,3,3,1,3,2,2
28/03/2026 15:42,0,1,3,3,2,2,2,0,2,2,2
28/03/2026 15:44,1,3,0,0,1,2,0,1,1,2,0
28/03/2026 15:44,0,1,2,3,0,2,1,0,1,1,1
28/03/2026 15:45,0,1,2,3,2,3,1,1,2,2,2
28/03/2026 15:46,0,2,1,3,0,2,1,1,3,2,2
28/03/2026 15:50,0,1,2,1,1,1,0,1,0,1,0
28/03/2026 15:50,0,1,1,1,1,3,3,1,2,0,2
28/03/2026 15:50,0,1,3,3,2,2,2,0,3,1,2
28/03/2026 15:52,0,3,1,0,0,1,1,1,1,1,0
28/03/2026 15:52,0,2,1,3,1,2,0,0,1,1,1
28/03/2026 15:52,0,1,1,1,1,2,2,1,3,1,2
28/03/2026 15:53,0,3,3,1,0,0,0,1,1,0,0
28/03/2026 15:57,0,1,2,0,2,3,2,1,3,2,2
28/03/2026 15:57,0,1,0,0,0,0,0,0,1,0,0
28/03/2026 15:58,0,3,1,2,2,2,1,1,1,1,1
28/03/2026 16:01,0,1,2,2,1,2,1,0,2,2,2
28/03/2026 16:05,0,3,1,1,0,1,1,1,1,0,0
28/03/2026 16:06,0,1,1,1,0,2,0,1,2,1,1
28/03/2026 16:15,0,1,3,1,1,2,1,0,1,0,1
28/03/2026 16:18,0,1,2,2,2,1,2,1,0,0,1
28/03/2026 16:19,0,3,0,0,1,3,0,1,0,1,0
28/03/2026 16:21,0,2,2,3,0,3,2,1,3,1,2
28/03/2026 16:26,0,1,2,2,2,2,1,1,3,0,2
28/03/2026 16:29,0,1,1,1,1,1,1,1,3,1,1
28/03/2026 16:30,0,3,1,0,0,1,1,1,1,2,0
28/03/2026 16:31,0,1,2,1,1,3,0,0,2,2,1
28/03/2026 16:43,0,1,1,2,2,3,2,0,3,2,2
28/03/2026 16:45,0,1,3,3,2,0,0,0,3,2,2
28/03/2026 16:47,1,0,1,3,2,1,1,1,0,1,1
28/03/2026 16:51,1,1,1,1,2,1,1,1,1,1,1
28/03/2026 16:51,0,1,3,3,2,1,1,1,1,2,2
28/03/2026 16:53,1,3,1,1,0,1,2,1,2,1,1
28/03/2026 16:54,0,1,1,0,0,1,1,0,1,2,0
28/03/2026 16:54,1,3,0,1,1,0,1,1,0,2,0
28/03/2026 17:02,0,1,3,3,0,1,0,1,1,1,1
28/03/2026 17:05,0,1,3,3,2,3,3,1,2,2,2
28/03/2026 17:08,1,3,2,2,0,1,0,1,1,1,1
28/03/2026 17:10,0,1,3,3,2,1,2,1,1,2,2
28/03/2026 17:13,1,2,0,0,0,0,0,1,0,0,0
28/03/2026 17:15,0,1,2,3,2,2,2,0,2,1,2
28/03/2026 17:19,1,3,1,1,2,2,0,1,1,1,1
28/03/2026 17:21,1,2,2,1,1,2,2,0,3,0,1
28/03/2026 17:21,0,1,2,3,0,3,1,0,3,0,2
28/03/2026 17:21,1,3,1,1,2,1,0,1,2,1,1
28/03/2026 17:23,1,3,2,3,2,3,1,0,1,1,2
28/03/2026 17:23,0,1,3,1,1,3,1,1,3,2,2
28/03/2026 17:23,1,2,1,2,1,1,1,1,1,1,1
28/03/2026 17:25,1,3,3,0,2,3,2,1,2,2,2
28/03/2026 17:25,1,1,1,0,1,2,3,1,1,0,1
28/03/2026 17:26,1,3,1,0,0,2,0,1,1,2,0
28/03/2026 17:28,0,1,2,0,1,2,2,0,1,2,1
28/03/2026 17:29,0,1,1,2,1,1,0,1,2,2,1
28/03/2026 17:30,1,3,1,3,0,1,0,1,1,0,0
28/03/2026 17:32,0,1,2,3,1,2,2,1,2,2,2
28/03/2026 17:32,1,3,1,1,0,0,0,1,1,0,0
28/03/2026 17:34,0,1,1,1,2,3,1,1,1,2,2
28/03/2026 17:40,1,0,3,3,0,2,1,0,3,1,2
28/03/2026 17:40,0,1,1,1,1,1,2,1,2,1,1
28/03/2026 17:41,0,1,1,3,1,2,2,0,1,1,1
28/03/2026 17:44,0,3,1,0,2,2,1,0,1,1,1
28/03/2026 17:49,0,1,3,1,2,2,3,1,2,1,2
28/03/2026 17:51,0,1,1,0,1,1,1,1,1,0,0
28/03/2026 17:51,0,1,1,3,1,2,0,1,0,1,1
28/03/2026 17:54,1,1,0,0,1,2,1,1,3,2,1
28/03/2026 17:57,0,1,1,0,0,2,2,0,1,2,1
28/03/2026 18:01,0,1,2,3,2,2,1,0,1,2,2
28/03/2026 18:06,0,1,3,0,0,0,1,1,2,1,1
28/03/2026 18:06,0,3,1,3,2,1,0,1,1,1,1
28/03/2026 18:06,0,1,2,3,1,1,2,1,3,1,2
28/03/2026 18:10,0,1,3,2,0,1,2,1,2,1,2
28/03/2026 18:12,1,3,1,1,1,1,1,1,2,2,1
28/03/2026 18:12,1,2,2,1,1,1,0,0,1,1,0
28/03/2026 18:16,0,3,2,1,0,1,0,1,2,2,1
28/03/2026 18:19,1,3,1,1,1,1,0,1,2,2,1
28/03/2026 18:19,1,3,1,0,0,2,1,1,0,2,0
28/03/2026 18:20,1,2,1,2,1,2,1,0,3,0,1
28/03/2026 18:21,0,1,2,3,2,1,2,0,2,2,2
28/03/2026 18:24,0,2,3,3,0,2,0,1,3,2,2
28/03/2026 18:25,1,1,2,1,2,3,3,1,1,1,2
28/03/2026 18:26,0,1,1,0,1,1,0,0,1,1,0
28/03/2026 18:27,0,1,3,3,2,3,2,1,3,2,2
28/03/2026 18:27,0,2,3,2,2,2,2,1,2,1,2
28/03/2026 18:28,0,2,0,0,1,2,1,0,2,1,0
28/03/2026 18:28,1,3,1,1,0,0,1,1,2,1,0
28/03/2026 18:32,0,1,2,3,0,1,2,1,2,2,2
28/03/2026 18:32,1,3,1,0,1,1,0,0,0,2,0
28/03/2026 18:35,0,1,3,3,1,3,2,1,2,1,2
28/03/2026 18:36,1,2,1,1,0,1,0,0,2,1,0
28/03/2026 18:36,1,1,1,1,0,0,0,0,0,0,0
28/03/2026 18:38,0,2,1,1,2,2,1,1,3,1,2
28/03/2026 18:38,1,3,1,1,0,1,0,1,1,0,0
28/03/2026 18:41,0,3,1,0,0,1,0,1,1,1,0
28/03/2026 18:41,0,1,3,3,0,1,1,1,1,1,1
28/03/2026 18:43,0,1,2,3,0,2,1,1,2,1,2
28/03/2026 18:44,0,0,3,3,1,1,1,1,1,2,2
28/03/2026 18:47,0,1,3,2,2,3,3,1,3,0,2
28/03/2026 18:49,0,1,2,1,2,3,3,1,2,1,2
28/03/2026 18:50,0,1,1,2,1,2,1,0,0,1,1
28/03/2026 18:53,1,3,1,2,2,0,2,1,2,2,2
28/03/2026 19:02,0,2,2,3,0,3,0,1,2,0,1
28/03/2026 19:05,0,1,1,1,2,2,2,0,1,1,1
28/03/2026 19:06,0,1,2,1,2,3,2,0,3,2,2
28/03/2026 19:14,1,2,3,1,2,2,1,1,2,2,2
28/03/2026 19:19,1,3,1,2,2,3,3,1,3,2,2
28/03/2026 19:26,0,2,2,0,1,2,1,0,2,2,1
28/03/2026 19:27,0,2,1,0,0,1,0,1,0,1,0
28/03/2026 19:30,0,1,3,1,2,3,3,0,0,1,2
28/03/2026 19:32,0,1,1,1,2,2,1,1,2,2,2
28/03/2026 19:32,0,1,2,3,2,1,2,1,2,2,2
28/03/2026 19:34,0,1,1,1,1,1,0,0,1,1,0
28/03/2026 19:36,0,3,2,3,0,1,1,1,1,2,1
28/03/2026 19:37,0,1,2,3,0,2,2,1,3,2,2
28/03/2026 19:47,0,2,3,2,2,3,2,1,3,2,2
28/03/2026 19:48,0,1,1,2,0,1,0,1,0,1,0
28/03/2026 19:52,0,1,2,2,2,1,3,1,2,2,2
28/03/2026 19:54,0,2,1,1,0,1,1,1,2,0,0
28/03/2026 19:55,0,1,1,0,0,3,1,0,1,0,0
28/03/2026 19:57,0,1,2,3,2,3,2,0,1,1,2
28/03/2026 20:12,1,3,1,1,1,1,0,1,1,1,0
28/03/2026 20:17,0,1,1,0,1,2,2,0,2,2,1
28/03/2026 20:17,1,3,0,0,0,1,1,1,2,1,0
28/03/2026 20:25,0,1,3,2,0,2,1,1,1,2,2
28/03/2026 20:30,0,0,1,1,1,1,2,1,0,0,0
28/03/2026 20:30,1,2,0,0,0,0,0,0,0,0,0
28/03/2026 20:31,1,0,1,1,2,2,3,1,0,0,1
28/03/2026 20:31,1,0,0,1,0,0,0,0,1,0,0
28/03/2026 20:32,0,2,2,1,0,3,1,1,1,2,1
28/03/2026 20:32,0,1,0,0,0,1,1,1,0,0,0
28/03/2026 20:32,1,1,2,3,0,1,3,0,3,0,2
28/03/2026 20:39,0,1,2,3,1,2,1,1,2,0,2
28/03/2026 20:45,0,2,3,3,0,3,2,0,2,1,2
28/03/2026 20:50,1,2,0,0,1,2,0,0,3,0,0
28/03/2026 20:56,0,1,3,3,0,1,0,1,0,1,1
28/03/2026 20:59,1,0,1,1,0,0,0,0,1,2,0
28/03/2026 21:00,1,3,0,0,1,1,0,0,0,2,0
28/03/2026 21:10,0,1,1,1,1,2,1,1,2,2,1
28/03/2026 21:11,0,0,0,3,0,0,3,1,1,1,1
28/03/2026 21:21,1,2,2,2,1,3,3,1,2,0,2
28/03/2026 21:25,0,1,3,3,1,3,3,1,3,2,2
28/03/2026 21:33,0,1,3,3,2,3,1,1,3,2,2
28/03/2026 21:53,0,1,0,0,1,1,1,1,0,2,0
28/03/2026 21:55,0,0,3,3,2,2,3,1,1,1,2
28/03/2026 21:58,0,1,3,3,0,2,1,1,0,1,1
28/03/2026 21:59,0,2,3,2,2,3,3,1,3,2,2
28/03/2026 22:00,1,1,0,2,1,2,1,0,2,1,1
28/03/2026 22:00,0,1,2,3,1,3,2,1,3,2,2
28/03/2026 22:01,0,1,0,0,1,2,0,0,3,0,0
28/03/2026 22:02,0,0,0,0,0,1,1,0,1,2,0
28/03/2026 22:03,1,1,3,2,2,3,2,0,0,1,2
28/03/2026 22:03,1,2,2,2,2,1,2,1,2,0,2
28/03/2026 22:04,1,0,1,1,1,1,1,1,0,0,0
28/03/2026 22:04,1,1,2,1,0,0,0,1,2,1,0
28/03/2026 22:10,1,2,1,1,0,2,1,1,2,1,1
28/03/2026 22:12,0,2,1,2,0,1,0,1,1,1,0
28/03/2026 22:13,1,0,3,3,2,3,3,1,3,2,2
28/03/2026 22:15,1,2,0,0,1,1,0,0,0,0,0
28/03/2026 22:16,0,1,2,2,1,2,2,0,0,0,1
28/03/2026 22:37,0,1,1,1,1,2,1,1,1,1,1
28/03/2026 22:57,0,1,3,2,1,2,2,0,2,1,2
28/03/2026 23:03,0,2,3,3,0,2,1,1,2,2,2
28/03/2026 23:24,0,1,2,3,1,1,2,1,1,1,2
28/03/2026 23:31,0,1,0,1,2,1,0,0,0,2,0
28/03/2026 23:50,0,1,1,0,1,2,2,0,3,2,1
28/03/2026 23:51,0,2,3,3,2,2,0,1,1,1,2
29/03/2026 0:03,1,0,3,3,0,3,1,0,2,0,2
29/03/2026 0:58,1,1,1,1,0,1,1,1,2,1,1
29/03/2026 1:07,0,1,3,1,1,1,0,0,1,1,1
29/03/2026 1:43,0,1,1,2,2,1,0,0,0,0,0
29/03/2026 1:45,0,3,2,0,2,3,1,1,2,2,2
29/03/2026 1:45,0,3,3,2,0,0,2,1,0,2,1
29/03/2026 2:06,0,2,1,1,2,1,2,0,0,2,1
29/03/2026 2:07,1,2,1,0,2,1,0,1,2,1,1
29/03/2026 2:28,0,2,2,1,0,3,2,1,1,2,2
29/03/2026 2:58,0,1,2,3,2,1,3,0,2,1,2
29/03/2026 3:11,0,1,3,3,0,3,3,1,2,1,2
29/03/2026 3:17,1,2,2,1,2,2,1,1,3,2,2
29/03/2026 3:37,0,1,2,2,1,2,1,0,1,1,1
29/03/2026 3:51,0,1,3,3,0,0,3,1,3,2,2
29/03/2026 4:03,0,0,3,3,0,0,0,1,2,1,1
29/03/2026 4:12,0,1,3,2,2,2,2,1,3,2,2
29/03/2026 7:13,0,1,0,0,0,2,3,1,1,2,1
29/03/2026 8:29,1,3,1,1,1,2,0,1,1,1,1
29/03/2026 9:21,1,3,3,3,0,3,0,1,3,0,2
29/03/2026 9:26,0,1,1,3,1,3,1,1,1,0,1
29/03/2026 11:28,0,0,1,3,2,3,3,1,3,2,2
29/03/2026 12:50,0,1,2,2,0,0,1,0,1,1,0
29/03/2026 13:48,0,2,1,0,1,1,1,1,1,1,0
29/03/2026 13:57,0,3,0,1,2,1,0,1,1,0,0
29/03/2026 14:01,0,3,1,1,1,1,0,1,1,1,0
29/03/2026 14:40,0,1,1,0,2,2,2,1,1,2,1
29/03/2026 14:41,0,2,3,1,0,1,0,0,2,1,1
29/03/2026 15:17,0,2,1,0,1,1,1,1,1,0,0
29/03/2026 15:20,0,1,1,1,2,1,1,0,2,1,1
29/03/2026 15:35,0,2,0,1,2,3,1,1,2,2,2
29/03/2026 16:14,0,1,1,0,1,2,1,1,2,1,1
29/03/2026 16:16,0,2,0,0,1,3,1,1,1,1,1
29/03/2026 16:28,0,3,0,0,0,1,0,0,2,1,0
29/03/2026 16:41,1,3,1,1,0,1,0,0,0,0,0
29/03/2026 17:04,1,1,1,1,1,3,2,1,3,2,2
29/03/2026 18:44,0,1,1,0,1,2,1,0,1,0,0
29/03/2026 19:35,0,1,2,3,0,1,1,0,0,0,0
29/03/2026 19:39,0,1,3,3,0,3,1,1,1,0,2
30/03/2026 3:34,0,1,1,1,0,2,1,0,2,1,1
30/03/2026 4:07,0,1,2,3,2,2,1,1,1,0,2
30/03/2026 6:52,0,1,1,3,2,2,2,0,2,2,2
30/03/2026 10:00,0,1,2,0,1,1,1,0,1,2,1
30/03/2026 14:26,0,2,1,1,2,1,1,1,1,1,1
30/03/2026 14:37,0,2,1,2,0,1,1,1,0,1,0
30/03/2026 18:31,0,1,3,3,2,2,3,0,3,2,2
31/03/2026 6:44,0,1,2,3,0,0,3,1,3,2,2
01/04/2026 13:39,0,1,2,3,0,3,3,1,3,1,2
02/04/2026 12:25,0,2,2,0,2,2,2,1,3,2,2
